nilsbacke@Nilss-MacBook-Pro-M1:project6 (master)$ ./sim.py tests/partition-4.json 
sending retry HUMAYL4DN568NKYN 41
sending retry 7UF9L8VEL70RXMK5 44
sending retry AA4RM68061XHZCAC 46
success 0002 WYEF2MDQYSM3RQBU True
sending retry 268M3IY7WNZ4V3VY 45
success 0000 1U0BQN1XPVAMX2WR True
success 0000 1U0BQN1XPVAMX2WR True
sending retry C6VMQ6BN99WZKRH4 42
sending retry POX0IPOQMPPJA5H0 43
success 0002 FED1QNA6SFNOPJUU True
success 0002 MYTVZNOP1OKYC51O True
sending retry HUMAYL4DN568NKYN 41
sending retry 7UF9L8VEL70RXMK5 44
sending retry AA4RM68061XHZCAC 46
sending retry WYEF2MDQYSM3RQBU 47
sending retry 268M3IY7WNZ4V3VY 45
success 0000 ROBGJIDU7XQAMGGP True
success 0000 ROBGJIDU7XQAMGGP True
sending retry C6VMQ6BN99WZKRH4 42
sending retry POX0IPOQMPPJA5H0 43
success 0000 JIPWR0R3LHYQ21OM True
success 0000 JIPWR0R3LHYQ21OM True
sending retry FED1QNA6SFNOPJUU 48
sending retry MYTVZNOP1OKYC51O 49
success 0000 LRW05SZELKSU8EJU True
success 0000 LRW05SZELKSU8EJU True
sending retry HUMAYL4DN568NKYN 41
sending retry 7UF9L8VEL70RXMK5 44
sending retry AA4RM68061XHZCAC 46
sending retry WYEF2MDQYSM3RQBU 47
sending retry 268M3IY7WNZ4V3VY 45
sending retry C6VMQ6BN99WZKRH4 42
sending retry POX0IPOQMPPJA5H0 43
sending retry FED1QNA6SFNOPJUU 48
success 0002 9GL7X62T07HECON0 True
sending retry MYTVZNOP1OKYC51O 49
sending retry HUMAYL4DN568NKYN 41
sending retry 7UF9L8VEL70RXMK5 44
sending retry AA4RM68061XHZCAC 46
sending retry WYEF2MDQYSM3RQBU 47
sending retry 268M3IY7WNZ4V3VY 45
success 0000 RHF2Q8TOHL9DHDY5 True
success 0000 RHF2Q8TOHL9DHDY5 True
sending retry C6VMQ6BN99WZKRH4 42
sending retry POX0IPOQMPPJA5H0 43
sending retry FED1QNA6SFNOPJUU 48
sending retry 9GL7X62T07HECON0 50
success 0002 CVN23ENO6929GFGB True
sending retry MYTVZNOP1OKYC51O 49
success 0000 P2PABDH22IG2LTQR True
success 0000 P2PABDH22IG2LTQR True
sending retry HUMAYL4DN568NKYN 41
sending retry 7UF9L8VEL70RXMK5 44
sending retry AA4RM68061XHZCAC 46
sending retry WYEF2MDQYSM3RQBU 47
sending retry 268M3IY7WNZ4V3VY 45
success 0000 XCYZL03TV02ZO4T8 True
success 0000 XCYZL03TV02ZO4T8 True
sending retry C6VMQ6BN99WZKRH4 42
sending retry POX0IPOQMPPJA5H0 43
sending retry FED1QNA6SFNOPJUU 48
sending retry 9GL7X62T07HECON0 50
sending retry CVN23ENO6929GFGB 51
success 0002 T38MH6PTM30Q84DA True
success 0000 AG9YY62H0UIDVXDT True
success 0000 AG9YY62H0UIDVXDT True
sending retry MYTVZNOP1OKYC51O 49
sending retry HUMAYL4DN568NKYN 41
sending retry 7UF9L8VEL70RXMK5 44
sending retry AA4RM68061XHZCAC 46
sending retry WYEF2MDQYSM3RQBU 47
sending retry 268M3IY7WNZ4V3VY 45
sending retry C6VMQ6BN99WZKRH4 42
sending retry POX0IPOQMPPJA5H0 43
success 0000 6B1Z4XTDTYM9XZMH True
success 0000 6B1Z4XTDTYM9XZMH True
sending retry FED1QNA6SFNOPJUU 48
sending retry 9GL7X62T07HECON0 50
sending retry CVN23ENO6929GFGB 51
sending retry T38MH6PTM30Q84DA 52
sending retry MYTVZNOP1OKYC51O 49
sending retry HUMAYL4DN568NKYN 41
sending retry 7UF9L8VEL70RXMK5 44
sending retry AA4RM68061XHZCAC 46
sending retry WYEF2MDQYSM3RQBU 47
success 0000 06AW7WX3CQHK9O1E True
success 0000 06AW7WX3CQHK9O1E True
sending retry 268M3IY7WNZ4V3VY 45
sending retry C6VMQ6BN99WZKRH4 42
sending retry POX0IPOQMPPJA5H0 43
sending retry FED1QNA6SFNOPJUU 48
sending retry 9GL7X62T07HECON0 50
sending retry CVN23ENO6929GFGB 51
sending retry T38MH6PTM30Q84DA 52
success 0000 6ZK9F8J3TU926DVY True
success 0000 6ZK9F8J3TU926DVY True
sending retry MYTVZNOP1OKYC51O 49
sending retry HUMAYL4DN568NKYN 41
sending retry 7UF9L8VEL70RXMK5 44
sending retry AA4RM68061XHZCAC 46
sending retry WYEF2MDQYSM3RQBU 47
success 0002 KUSIAWIZL7DLF1D4 True
sending retry 268M3IY7WNZ4V3VY 45
sending retry C6VMQ6BN99WZKRH4 42
success 0002 HWS4BXN1NHCMWQXS True
sending retry POX0IPOQMPPJA5H0 43
sending retry FED1QNA6SFNOPJUU 48
sending retry 9GL7X62T07HECON0 50
sending retry CVN23ENO6929GFGB 51
sending retry T38MH6PTM30Q84DA 52
success 0002 F6ZU6Y6YA6E2AG8I True
sending retry MYTVZNOP1OKYC51O 49
sending retry HUMAYL4DN568NKYN 41
sending retry 7UF9L8VEL70RXMK5 44
sending retry AA4RM68061XHZCAC 46
sending retry WYEF2MDQYSM3RQBU 47
sending retry KUSIAWIZL7DLF1D4 53
sending retry 268M3IY7WNZ4V3VY 45
sending retry C6VMQ6BN99WZKRH4 42
sending retry HWS4BXN1NHCMWQXS 54
sending retry POX0IPOQMPPJA5H0 43
sending retry FED1QNA6SFNOPJUU 48
sending retry 9GL7X62T07HECON0 50
sending retry CVN23ENO6929GFGB 51
sending retry T38MH6PTM30Q84DA 52
sending retry F6ZU6Y6YA6E2AG8I 55
success 0002 B9L58C2HUM8JVA4T True
sending retry MYTVZNOP1OKYC51O 49
success 0000 DRPY0JKZQ0CS3VGR True
success 0000 DRPY0JKZQ0CS3VGR True
sending retry HUMAYL4DN568NKYN 41
sending retry 7UF9L8VEL70RXMK5 44
sending retry AA4RM68061XHZCAC 46
sending retry WYEF2MDQYSM3RQBU 47
sending retry KUSIAWIZL7DLF1D4 53
sending retry 268M3IY7WNZ4V3VY 45
sending retry C6VMQ6BN99WZKRH4 42
success 0000 Z2LUJF08PYWA1YBS True
success 0000 Z2LUJF08PYWA1YBS True
sending retry HWS4BXN1NHCMWQXS 54
sending retry POX0IPOQMPPJA5H0 43
sending retry FED1QNA6SFNOPJUU 48
sending retry 9GL7X62T07HECON0 50
sending retry CVN23ENO6929GFGB 51
sending retry T38MH6PTM30Q84DA 52
success 0002 VXUJJBE6T1NLQR8K True
sending retry F6ZU6Y6YA6E2AG8I 55
sending retry B9L58C2HUM8JVA4T 56
sending retry MYTVZNOP1OKYC51O 49
sending retry HUMAYL4DN568NKYN 41
sending retry 7UF9L8VEL70RXMK5 44
sending retry AA4RM68061XHZCAC 46
success 0002 Z4R4A0YLNLJ28ZGA True
sending retry WYEF2MDQYSM3RQBU 47
sending retry KUSIAWIZL7DLF1D4 53
sending retry 268M3IY7WNZ4V3VY 45
sending retry C6VMQ6BN99WZKRH4 42
success 0000 A8BNDBYTF9IR1F6K True
success 0000 A8BNDBYTF9IR1F6K True
sending retry HWS4BXN1NHCMWQXS 54
sending retry POX0IPOQMPPJA5H0 43
sending retry FED1QNA6SFNOPJUU 48
sending retry 9GL7X62T07HECON0 50
sending retry CVN23ENO6929GFGB 51
sending retry T38MH6PTM30Q84DA 52
sending retry VXUJJBE6T1NLQR8K 57
sending retry F6ZU6Y6YA6E2AG8I 55
sending retry B9L58C2HUM8JVA4T 56
sending retry MYTVZNOP1OKYC51O 49
sending retry HUMAYL4DN568NKYN 41
sending retry 7UF9L8VEL70RXMK5 44
sending retry AA4RM68061XHZCAC 46
sending retry Z4R4A0YLNLJ28ZGA 58
success 0002 V2VH6TJA8EQMROET True
sending retry WYEF2MDQYSM3RQBU 47
sending retry KUSIAWIZL7DLF1D4 53
^CTraceback (most recent call last):
  File "/Users/nilsbacke/src/f21/CS3700/project6/./sim.py", line 957, in <module>
    single_test(args.test, args.silence)
  File "/Users/nilsbacke/src/f21/CS3700/project6/./sim.py", line 826, in single_test
    sim.run()
  File "/Users/nilsbacke/src/f21/CS3700/project6/./sim.py", line 502, in run
    ready = select.select(sockets, [], [], RECV_WAIT)[0]
KeyboardInterrupt

nilsbacke@Nilss-MacBook-Pro-M1:project6 (master)$ 
